Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
Afghanistan,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230
Albania,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748
Algeria,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741
American Samoa,44273,46189,51368,54849,58230,47818,32886,27075,199
Andorra,79824,77700,71746,71519,66097,53569,35611,19860,468
Angola,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700
Anguilla,15857,15585,14525,13172,11047,8316,6560,6283,91
Antigua and Barbuda,93763,92664,89941,85695,75055,63328,64888,64516,442
Argentina,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400
Armenia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743
Aruba,106445,106585,104257,100341,89101,65712,62267,59106,180
Australia,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024
Austria,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871
Azerbaijan,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600
Bahamas,409984,406471,392697,373272,325014,270679,223752,179129,13943
Bahrain,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765
Bangladesh,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570
Barbados,281635,280693,278083,274711,264657,258868,253575,241397,430
Belarus,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600
Belgium,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528
Belize,405272,394921,359871,322106,240406,182589,145133,120905,22966
Benin,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622
Bermuda,64184,64031,63144,63447,61371,57470,53565,52019,54
Bhutan,782455,772506,743274,705516,587207,558442,415257,298894,38394
Bolivia,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1098581
Bosnia and Herzegovina,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,51209
Botswana,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,582000
Brazil,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,8515767
British Virgin Islands,31305,30910,29366,27556,20104,15617,11109,9581,151
Brunei,449002,441725,421437,396053,333926,261928,187921,133343,5765
Bulgaria,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,110879
Burkina Faso,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967
Burundi,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834
Cambodia,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035
Cameroon,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442
Canada,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670
Cape Verde,593149,582640,552166,521212,458251,364563,317234,287262,4033
Cayman Islands,68706,67311,60911,54074,39658,26027,17100,10533,264
Central African Republic,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984
Chad,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000
Chile,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102
China,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961
Colombia,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748
Comoros,836774,806166,730216,656024,536758,431119,328328,242351,1862
Cook Islands,17011,17029,17695,17212,15897,17123,17651,20470,236
Costa Rica,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100
Croatia,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594
Cuba,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884
Curacao,191163,189288,169572,159380,141424,155446,156851,150385,444
Cyprus,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251
Czech Republic,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865
Denmark,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094
